Saturday Championship - Div 2 - 2026-27:  LeagueHKU CC won by 6 Wickets (05/09/2026)
                     DLSW Thunder Vs HKU CC



,,,DLSW Thunder Batting

	BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Bhavik Bhayani,ct,Reyansh B,Ben Sparrow,34,66,2,0
Pratham Maru,ct,Zain U,Bashir Haroon S,8,17,1,0
Praveen Kumar Singh,lbw,,Sachin Mittal,2,5,0,0
Chaitanya Krishna,ro,,Ashwin D,0,1,0,0
Aarya Savani,,,,34,63,0,0
Vivek Arya,ct,Yaqzaan Rajan,Tiran R,8,12,1,0
Shamsher Singh,ct,Reyansh B,Ben Sparrow,2,3,0,0
Adan Hayyan Hussain,ct,Tiran R,Ben Sparrow,2,5,0,0
Sodhi Vikramjit Singh,ctw,Ashwin D,Tiran R,0,4,0,0
Kailash Chandwani,ct,Tiran R,Tiran R,5,4,0,0
Sumit Dhar,ct,Zain U,Ben Sparrow,1,2,0,0

	
		Byes: 0 , Leg Byes: 1, Wickets : 10  Wides : 22, No Balls: 1 Penalty : 0,120,30

,,,HKU CC Bowling 
													
	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Jaya Ramesh Chaliki,4,1,6,0,2,0,0,20
Bashir Haroon Shahid,4,0,13,1,2,0,0,17
Zain Ul-Abidin,4,0,24,0,8,1,0,18
Sachin Mittal,5,0,22,1,4,0,0,18
Tiran Ranasinghe,7,0,36,3,3,0,0,15
Ben Sparrow,6,0,18,4,3,0,0,26

Total, 30 ,1,119,10,22,1,0,114

DLSW Thunder Fall of Wickets
                      
Pratham , 1-18 ,  Over 7.5
Praveen , 2-24 ,  Over 9.5
Chaitany, 3-29 ,  Over 10.6
Bhavik B, 4-87 ,  Over 21.3
Vivek A, 5-99 ,  Over 24.3
Shamsher, 6-102 ,  Over 25.1
Adan Hay, 7-104 ,  Over 25.6
Sodhi V, 8-105 ,  Over 26.5
Kailash , 9-116 ,  Over 28.6
Sumit D, 10-120 ,  Over 29.6


,,,HKU CC Batting
                            
BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Yaqzaan Rajan,ct,Vivek A,Adan Hayyan H,25,27,3,1
Sachin Mittal,ct,Vivek A,Vivek A,29,43,1,0
Mohammad Asim Aurang-Zeb,ct,Sumit D,Adan Hayyan H,1,4,0,0
William Sparrow,ct,Praveen Kumar S,Praveen Kumar S,10,44,0,0
Ashwin Dokania,rt,,,20,56,0,0
Reyansh Budhdev,,,,4,8,0,0
Tiran Ranasinghe,,,,6,4,1,0
Bashir Haroon Shahid,,,,0,0,0,0
Jaya Ramesh Chaliki,,,,0,0,0,0
Zain Ul-Abidin,,,,0,0,0,0
Ben Sparrow,,,,0,0,0,0

Byes: 2 , Leg Byes: 1, Wickets : 4  Wides : 19, No Balls: 4 Penalty : 0,121,30.2

,,,DLSW Thunder Bowling

	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Sumit Dhar,3,0,14,0,2,2,0,10
Aarya Savani,2,0,11,0,3,0,0,7
Pratham Maru,1,0,11,0,0,1,0,5
Praveen Kumar Singh,7,0,20,1,0,0,0,30
Vivek Arya,7,0,20,1,4,1,0,33
Adan Hayyan Hussain,6,0,22,2,1,0,0,22
Kailash Chandwani,3.2,0,13,0,6,0,0,15
Shamsher Singh,1,0,7,0,3,0,0,4

Total, 30.2 ,0,118,4,19,4,0,126

HKU CC Fall of wickets
                      
Yaqzaan , 1-63 ,  Over10.1
Sachin M, 2-68 ,  Over11.2
Mohammad, 3-70 ,  Over12.2
Ashwin D, 3-107Retired ,  Over27.3
William , 4-112 ,  Over28.6
