Saturday Championship - Div 2 - 2025-26:  LeagueHKU CC won by 5 Wickets (21/03/2026)
                     IRC Charlie Bears Saturday Vs HKU CC



,,,IRC Charlie Bears Saturday Batting

	BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Usman Ayub,ct,Jaya Ramesh C,Jaya Ramesh C,0,3,0,0
Raj Putatunda,b,,Yaqzaan R,4,6,1,0
Md Habib Ur Rehman,b,,Jaya Ramesh C,0,2,0,0
Saiful Alam,b,,Jaya Ramesh C,0,2,0,0
Ajay Kamath Hk,st,Ashutosh B,Abhishek S,40,57,8,0
Tharusha Mahawaduge,lbw,,Yaqzaan R,1,9,0,0
Bhaskar Chatterjee,b,,Nitesh H,43,62,5,0
Kaushik Kanungo,b,,Abhishek S,0,1,0,0
Zhoaib Khan,b,,Abhishek S,4,3,1,0
Shahbaz Ali Mirza,b,,Nitesh H,16,21,2,0
Ayub Khan,,,,4,9,0,0

	
		Byes: 0 , Leg Byes: 0, Wickets : 10  Wides : 17, No Balls: 4 Penalty : 0,133,28.3

,,,HKU CC Bowling 
													
	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Jaya Ramesh Chaliki,6.0,0,16,3,5,2,0,31
Yaqzaan Rajan,5.0,1,19,2,1,0,0,24
Ayaan Shaik,4.0,0,23,0,2,0,0,16
Ashwin Dokania,2.0,0,19,0,3,1,0,6
Abhishek Sharma,6.0,0,41,3,6,1,0,18
Nitesh Hemlani,5.3,0,15,2,0,0,0,22

Total, 28.3 ,1,133,10,17,4,0,117

IRC Charlie Bears Saturday Fall of Wickets
                      
USMAN A, 1-1 ,  Over 0.3
Md Habib, 2-1 ,  Over 0.5
Raj P, 3-6 ,  Over 1.6
Saiful A, 4-10 ,  Over 2.4
Tharusha, 5-17 ,  Over 5.2
Ajay Kam, 6-85 ,  Over 18.1
Kaushik , 7-85 ,  Over 18.2
Zhoaib K, 8-89 ,  Over 18.5
Shahbaz , 9-125 ,  Over 26.2
Bhaskar , 10-133 ,  Over 28.3


,,,HKU CC Batting
                            
BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Ashutosh Balasaria,b,,Md Habib Ur R,22,26,4,0
Nitesh Hemlani,lbw,,Md Habib Ur R,15,38,2,0
Yaqzaan Rajan,st,Raj P,Ayub K,0,12,0,0
Ashwin Dokania,,,,27,60,3,0
Ankit Suri,lbw,,Bhaskar C,11,19,0,1
Rishi Srivastava,ct,Ayub K,Bhaskar C,3,10,0,0
Abhishek Sharma,,,,41,21,5,2
Chamila Panduwawala,,,,0,0,0,0
Jaya Ramesh Chaliki,,,,0,0,0,0
Tanish Agarwal,,,,0,0,0,0
Ayaan Shaik,,,,0,0,0,0

Byes: 0 , Leg Byes: 3, Wickets : 5  Wides : 15, No Balls: 1 Penalty : 0,138,30.5

,,,IRC Charlie Bears Saturday Bowling

	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Shahbaz Ali Mirza,6.0,0,47,0,2,0,0,15
Ajay Kamath Hk,4.0,0,21,0,9,0,0,18
Md Habib Ur Rehman,7.0,2,12,2,0,0,0,36
Ayub Khan,7.0,1,14,1,0,1,0,37
Bhaskar Chatterjee,4.0,1,17,2,1,0,0,16
Saiful Alam,1.0,0,5,0,2,0,0,3
Tharusha Mahawaduge,1.0,0,7,0,1,0,0,3
Usman Ayub,0.5,0,12,0,0,0,0,2

Total, 30.5 ,4,135,5,15,1,0,130

HKU CC Fall of wickets
                      
Ashutosh, 1-45 ,  Over8.6
Nitesh H, 2-46 ,  Over12.2
Yaqzaan , 3-50 ,  Over13.5
Ankit S, 4-69 ,  Over20.1
Rishi S, 5-79 ,  Over24.1
