Saturday Championship - Div 2 - 2025-26:  LeagueHKU CC won by 2 Wickets (03/01/2026)
                     SCC Lancers Vs HKU CC



,,,SCC Lancers Batting

	BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Zakir Khan,ct,Tiran R,Jaya Ramesh C,5,13,0,0
Somasundar Nair,ro,Ashutosh B,Chamila P,7,21,1,0
Sagar Agarwal,ctw,Ashutosh B,Tiran R,68,52,9,1
John Dulip Kumar Jeyasingh,lbw,,Jaya Ramesh C,0,3,0,0
Tanmay Maruti Bijur,ct,Tiran R,Sahil S,76,78,2,1
Shashank Gangil,lbw,,Sahil S,31,30,3,1
Mohammad Haroon,ro,,Nitesh H,1,4,0,0
Ashfaq Assad,,,,8,8,0,0
Roopesh Patade,,,,2,2,0,0
Tonapi Rahul Shrirang,,,,0,0,0,0
Anirudh Rambhatla,,,,0,0,0,0

	
		Byes: 0 , Leg Byes: 0, Wickets : 7  Wides : 19, No Balls: 1 Penalty : 0,218,35.0

,,,HKU CC Bowling 
													
	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Jaya Ramesh Chaliki,7.0,0,45,2,3,1,0,24
Nitesh Hemlani,4.0,0,17,0,2,0,0,18
Tiran Ranasinghe,7.0,1,34,1,4,0,0,23
Abidin Zain Ul,4.0,0,33,0,4,0,0,8
Ruchitha Venkatesh,7.0,0,55,0,4,0,0,14
Sahil Sahil,6.0,0,34,2,2,0,0,15

Total, 35.0 ,1,218,7,19,1,0,102

SCC Lancers Fall of Wickets
                      
Zakir K, 1-7 ,  Over 4.2
Somasund, 2-20 ,  Over 6.6
John Dul, 3-29 ,  Over 8.3
Sagar a, 4-134 ,  Over 22.5
Shashank, 5-202 ,  Over 31.5
Mohammad, 6-207 ,  Over 32.6
Tanmay M, 7-209 ,  Over 33.3


,,,HKU CC Batting
                            
BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Ashutosh Balasaria,ro,Tanmay Maruti B,Sagar a,28,32,1,1
Nitesh Hemlani,lbw,,Anirudh R,0,1,0,0
Ankit Suri,ct,Ashfaq A,Mohammad H,4,11,0,0
Mohammad Asim Aurang-Zeb,st,Tanmay Maruti B,Roopesh P,28,49,1,0
Jaya Ramesh Chaliki,b,,Roopesh P,47,52,3,1
Abhishek Sharma,ctw,Tanmay Maruti B,Mohammad H,44,28,2,2
Chamila Panduwawala,ct,Ashfaq A,Sagar a,20,16,2,0
Tiran Ranasinghe,lbw,,Sagar a,11,8,2,0
Abidin Zain Ul,,,,4,5,0,0
Sahil Sahil,,,,11,4,0,1
Ruchitha Venkatesh,,,,0,0,0,0

Byes: 5 , Leg Byes: 0, Wickets : 8  Wides : 17, No Balls: 0 Penalty : 0,219,34.2

,,,SCC Lancers Bowling

	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Mohammad Haroon,7.0,0,45,2,5,0,0,21
Anirudh Rambhatla,6.0,0,32,1,9,0,0,24
Ashfaq Assad,7.0,0,41,0,3,0,0,17
Roopesh Patade,7.0,0,35,2,0,0,0,19
Tonapi Rahul Shrirang,4.0,0,37,0,0,0,0,4
Sagar Agarwal,3.2,0,24,2,0,0,0,7

Total, 34.2 ,0,214,8,17,0,0,92

HKU CC Fall of wickets
                      
Nitesh H, 1-2 ,  Over1.1
Ankit S, 2-11 ,  Over4.2
Ashutosh, 3-53 ,  Over10.6
Mohammad, 4-95 ,  Over20.4
Jaya Ram, 5-170 ,  Over28.4
Abhishek, 6-170 ,  Over29.1
Tiran R, 7-202 ,  Over32.2
Chamila , 8-205 ,  Over32.6
