University Cricket League:  LeagueCombined Unis XI (UCL) won by 79 Runs (18/03/2025)
                     Combined Unis XI (UCL) Vs HKU Students (UCL)



,,,Combined Unis XI (UCL) Batting

	BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Aqeel Mohammad,ct,,Ruthvik N,6,7,1,0
Harsh Sharma,ct,Hanzla A,Gohar A,0,2,0,0
Haris Muhammad,ct,Yash D C,Gohar A,1,5,0,0
Samir,ct,,Ruthvik N,0,1,0,0
Muhammad Umar,ct,Ruthvik N,Hanzla A,28,22,0,4
Muhammad Abdullah Khan,,,,91,58,11,5
Tushar Bhavnani,ct,Ruthvik N,Saraj,38,28,3,3
Nikhil Kalasarya,,,,0,3,0,0
Shum Kin Wang Ivan,,,,0,0,0,0

	
		Byes: 5 , Leg Byes: 2, Wickets : 6  Wides : 17, No Balls: 6 Penalty : 0,194,20.0

,,,HKU Students (UCL) Bowling 
													
	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Gohar Ali,4.0,0,36,2,5,0,0,0
Ruthvik Nellore,4.0,0,27,2,1,3,0,0
Saraj,4.0,0,33,1,1,0,0,0
Hanzla Ahmad,4.0,0,31,1,0,1,0,0
Ammaar,3.0,0,41,0,5,1,0,0
Divyansh Tulsyan,1.0,0,19,0,5,1,0,0

Total, 20.0 ,0,187,6,17,6,0,0

Combined Unis XI (UCL) Fall of Wickets
                      
Aqeel M, 2-10 ,  Over 1.6
Haris M, 3-12 ,  Over 2.2
Samir, 4-13 ,  Over 3.1
Muhammad, 5-58 ,  Over 8.2
Tushar B, 6-135 ,  Over 15.6


,,,HKU Students (UCL) Batting
                            
BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Saraj,ct,Harsh S,Tushar B,9,13,1,0
Yash D Chauhan,ct,Tushar B,Muhammad Abdullah K,62,38,9,1
Gohar Ali,ctw,Aqeel M,Aqeel M,4,7,0,0
Ruthvik Nellore,ct,Aqeel M,Muhammad U,2,3,0,0
Ammaar,,,,11,22,1,0
Mishra Shuvam,b,,Nikhil K,13,17,1,0
Hanzla Ahmad,lbw,,Nikhil K,0,1,0,0
Divyansh Tulsyan,b,,Harsh S,1,3,0,0

Byes: 0 , Leg Byes: 2, Wickets : 7  Wides : 9, No Balls: 1 Penalty : 0,115,17.1

,,,Combined Unis XI (UCL) Bowling

	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Aqeel Mohammad,3.0,0,26,1,2,0,0,0
Haris Muhammad,2.0,0,9,0,1,0,0,0
Tushar Bhavnani,2.0,0,8,1,2,0,0,0
Muhammad Umar,2.0,0,24,1,0,0,0,0
Samir,1.0,0,17,0,0,1,0,0
Muhammad Abdullah Khan,1.0,0,3,1,0,0,0,0
Nikhil Kalasarya,3.0,0,9,2,2,0,0,0
Shum Kin Wang Ivan,3.0,0,17,0,2,0,0,0
Harsh Sharma,0.1,0,0,1,0,0,0,0

Total, 17.1 ,0,113,7,9,1,0,0

HKU Students (UCL) Fall of wickets
                      
Saraj, 1-43 ,  Over6.3
Gohar A, 2-65 ,  Over8.3
Ruthvik , 3-84 ,  Over9.5
Yash D C, 4-86 ,  Over10.2
MISHRA S, 5-109 ,  Over15.4
Hanzla A, 6-109 ,  Over15.5
Divyansh, 7-115 ,  Over17.1
